0,0,0,0,0
0,0,0,-0.369382,-0.277037
0.0125,0.005,0.005,-0.31235,-0.234262
0.0075,0.01,0,-0.272313,-0.204235
0.0125,0.02,0.005,-0.241394,-0.181045
0.005,0.0075,0.02,-0.210313,-0.157734
0.015,0.0075,0.0025,-0.182548,-0.136911
0.025,0.01,0.02,-0.158965,-0.119224
0.0125,0.02,0.0225,-0.143311,-0.107483
0.025,0.0025,0.0175,-0.127777,-0.0958327
0.005,0.0075,0.025,-0.112138,-0.0841036
0.005,0.0075,0.0025,-0.0966165,-0.0724624
0.025,0.0225,0.01,-0.0889541,-0.0667156
0.005,0.025,0.02,-0.0812378,-0.0609283
0.0125,0.0175,0.0175,-0.0736858,-0.0552643
0.0025,0.01,0.01,-0.0659692,-0.0494769
0.02,0.005,0.02,-0.0568471,-0.0426353
0.01,0.0125,0.0125,-0.0488225,-0.0366169
0.01,0.015,0.01,-0.0395464,-0.0296598
0.005,0.025,0.0175,-0.031454,-0.0235905
0.0175,0.005,0.0225,-0.0317795,-0.0238346
0.01,0,0.02,-0.0320534,-0.0240401
0.005,0.02,0.02,-0.0323281,-0.0242461
0.0175,0.005,0.0125,-0.0326181,-0.0244636
0.0125,0.0125,0.0025,-0.0329205,-0.0246904
0.0075,0.025,0.0175,-0.0332333,-0.024925
0.01,0.0175,0.01,-0.0335435,-0.0251576
0.0225,0.0225,0.015,-0.025248,-0.018936
0.025,0.1475,0.0075,-0.025492,-0.019119
0.6075,1.2825,0.015,-0.0257488,0.25
1.9075,2.02,0.0175,-0.0667318,0.575
2.2175,2.215,0.025,-0.166534,0.6
2.5375,1.205,0.0175,-0.269611,0.45
2.1725,0.03,0.0125,-0.344221,0.225
1.68,0.0375,0.0225,-0.382824,0.175
1.4725,0.02,0.01,-0.411624,0.15
0.8975,0.0225,0.01,-0.438214,0.1
0.1775,0.005,0.015,-0.455247,-0.341436
0.205,0.0125,0.01,-0.385429,-0.289072
1.24,0.02,0.0225,-0.326424,0.125
2.355,0.13,0.0075,-0.351778,0.25
1.92,0.05,0.015,-0.393343,0.2
1.465,0.055,0,-0.425953,0.15
0.8975,0.01,0.0175,-0.451179,0.1
0.5325,0.01,0.0025,-0.469027,0.05
0.215,0.01,0.0125,-0.478169,-0.358627
0.185,0.02,0.0075,-0.420229,-0.315172
0.91,0.0125,0.005,-0.362219,0.1
1.42,0.03,0.0125,-0.379624,0.15
1.4625,0.0425,0.005,-0.407193,0.15
1.4425,0.045,0.005,-0.432744,0.15
1.225,0.0075,0.005,-0.457999,0.125
0.9075,0.005,0.0125,-0.479791,0.1
0.16,0.0175,0.0025,-0.497584,-0.373188
0.1825,0.02,0.005,-0.437781,-0.328336
0.76,0.02,0.0225,-0.37714,0.075
1.415,0.035,0.0025,-0.391281,0.15
1.4425,0.04,0.0075,-0.417153,0.15
1.49,0.0375,0.005,-0.442785,0.15
1.28,0.0125,0.025,-0.467693,0.125
0.8775,0.0075,0.02,-0.489515,0.1
0.1875,0.0125,0.0125,-0.506912,-0.380184
0.1625,0.005,0.015,-0.440476,-0.330357
1.14,0.0175,0.0225,-0.38331,0.125
2.1975,0.12,0.0225,-0.404668,0.25
1.785,0.0425,0.0025,-0.446383,0.2
1.4575,0.055,0.005,-0.480105,0.15
0.905,0.0025,0.0125,-0.510762,0.1
0.205,0.025,0.0025,-0.527919,-0.395939
0.18,0.0025,0.01,-0.460528,-0.345396
1.2325,0.0225,0.0075,-0.403453,0.125
2.2425,0.04,0.025,-0.425222,0.225
1.63,0.0275,0.015,-0.463112,0.175
1.6425,0.0275,0.0175,-0.492561,0.175
0.785,0.025,0.0125,-0.523344,0.075
0.185,0.01,0.0025,-0.536362,-0.402272
0.1575,0.0125,0.01,-0.471699,-0.353774
1.2975,0.0025,0,-0.414678,0.125
2.3625,0.1375,0.0125,-0.440637,0.25
1.8225,0.0525,0.0025,-0.483031,0.2
1.625,0.0525,0.025,-0.5168,0.175
0.9025,0.0175,0.005,-0.546716,0.1
0.175,0.025,0.0025,-0.563627,-0.42272
0.18,0.0125,0.01,-0.495395,-0.371547
1.29,0,0.0075,-0.42685,0.125
2.3675,0.14,0.0225,-0.452519,0.275
1.815,0.035,0.0125,-0.503088,0.2
1.385,0.01,0,-0.544606,0.15
0.8975,0.005,0.0075,-0.569583,0.1
0.1875,0.0225,0.005,-0.587425,-0.440569
0.0275,0.01,0.025,-0.506924,-0.380193
1.4025,0.01,0.0075,-0.437436,0.15
2.195,0.1525,0.0075,-0.463373,0.25
1.9975,0.0575,0,-0.505179,0.2
1.65,0.03,0.0125,-0.538463,0.175
0.9625,0.02,0.025,-0.568822,0.1
0.4225,0.0125,0.01,-0.586927,0.05
0.1575,0.0225,0.015,-0.598255,-0.448691
0.1775,0.0075,0.0175,-0.522174,-0.391631
1.2125,0.005,0.01,-0.456628,0.125
2.4775,0.135,0.02,-0.478167,0.275
2.005,0.1225,0.025,-0.530214,0.225
1.455,0.03,0,-0.568168,0.15
0.875,0,0.02,-0.593885,0.1
0.195,0.0025,0.0125,-0.610763,-0.458072
0.1825,0.015,0.01,-0.536562,-0.402422
1.23,0.0025,0,-0.470238,0.125
2.345,0.125,0.0125,-0.491783,0.25
2.28,0.12,0.0025,-0.533594,0.25
1.255,0.0575,0.02,-0.575398,0.15
0.87,0.0125,0.0225,-0.601433,0.1
0.0375,0.0075,0.0225,-0.622178,-0.466634
0.0275,0.0025,0.0025,-0.546931,-0.410198
1.05,0.005,0.02,-0.481383,0.1
1.3875,0.0125,0.0175,-0.498516,0.15
1.1825,0.0025,0.02,-0.523489,0.125
0.51,0.01,0.0175,-0.54472,0.05
0.0225,0.01,0.015,-0.553806,-0.415354
0.03,0.0225,0.005,-0.48826,-0.366195
0.005,0.0125,0.0175,-0.432065,-0.324048
0.48,0.0225,0,-0.382916,0.05
0.9775,0.0225,0.0225,-0.392029,0.1
0.215,0.015,0.01,-0.408591,-0.306444
0.01,0.02,0.005,-0.361373,-0.27103
0.005,0.0225,0.0125,-0.322356,-0.241767
0.015,0.02,0.0075,-0.275382,-0.206537
0.0175,0.0025,0.0175,-0.237683,-0.178262
0.0025,0.0225,0.005,-0.205849,-0.154387
0.0225,0.01,0.02,-0.18263,-0.136973
0.0025,0.0125,0.015,-0.159215,-0.119411
0.005,0.0125,0.0125,-0.143808,-0.107856
0.0175,0.0175,0.02,-0.125445,-0.094084
0.0175,0.0125,0.0075,-0.109723,-0.0822924
0.025,0.005,0.0025,-0.0934014,-0.0700511
0.015,0.01,0.0075,-0.0859382,-0.0644537
0.0025,0.0175,0.0225,-0.078481,-0.0588607
0.0125,0.0075,0.0025,-0.0710563,-0.0532922
0.0175,0.0175,0.015,-0.0620517,-0.0465387
0.0175,0.0125,0.0125,-0.0545676,-0.0409257
0.0225,0,0.0125,-0.0470045,-0.0352534
0.015,0.015,0.025,-0.0392478,-0.0294358
0.0025,0.015,0.0075,-0.0296159,-0.0222119
0.005,0.0025,0.0075,-0.029983,-0.0224872
0.02,0.025,0.0125,-0.0303647,-0.0227735
0.0125,0.005,0.025,-0.0307562,-0.0230671
0.02,0.02,0.005,-0.0312439,-0.0234329
0.005,0.0175,0.025,-0.0316644,-0.0237483
0.015,0.01,0.0175,-0.0320903,-0.0240677
0.01,0.0175,0.015,-0.0325278,-0.0243958
0.0025,0.005,0.0225,-0.0329765,-0.0247323
0.01,0,0.02,-0.0334319,-0.0250739
0.02,0.0125,0.0175,-0.0254705,-0.0191029
0,0.025,0,-0.0258378,-0.0193784
0.005,0.0125,0.005,-0.0262152,-0.0196614
0.0075,0,0.005,-0.0265988,-0.0199491
0.0125,0.0075,0.0175,-0.0269938,-0.0202454
0.0125,0.0225,0.015,-0.0274229,-0.0205671
0.005,0.005,0.0125,-0.0278482,-0.0208861
0.02,0,0.0225,-0.0283096,-0.0212322
0.025,0.0025,0.0075,-0.0287809,-0.0215857
0.0225,0,0,-0.0292732,-0.0219549
0.0125,0.01,0,-0.0297521,-0.0223141
0.02,0.01,0.02,-0.0302532,-0.0226899
0.0075,0.0175,0.015,-0.0307649,-0.0230737
0.025,0.005,0.0175,-0.0313019,-0.0234764
0.0175,0.0075,0.0225,-0.0319545,-0.0239659
0.02,0.02,0.02,-0.0325258,-0.0243944
0.025,0.0025,0.025,-0.033135,-0.0248513
0.01,0.02,0.025,-0.0337585,-0.0253188
0.0175,0.0175,0.015,-0.0246995,-0.0185246
0.0225,0.0025,0.025,-0.0251842,-0.0188881
0.02,0.0075,0.02,-0.0257018,-0.0192763
0.0225,0.0125,0.02,-0.0262194,-0.0196646
0.01,0.015,0.015,-0.0267661,-0.0200746
0.005,0.0075,0.01,-0.0273432,-0.0205074
0,0.0025,0.005,-0.0280497,-0.0210373
0.02,0.0025,0.025,-0.0288026,-0.0216019
0.005,0.0125,0.0075,-0.0294539,-0.0220904
0.0175,0.0175,0.02,-0.030285,-0.0227137
0.0125,1.0575,0.92,-0.0310796,-0.425
0.0775,1.5175,1.1875,0.0445234,-0.65
0.0025,1.495,2.5525,0.178226,-0.8
0,0.0675,2.5525,0.31722,-0.45
0.0175,0.02,1.9675,0.394185,-0.2
0.025,0,1.285,0.430677,-0.2
0.025,0.005,1.03,0.4742,-0.1
0.0175,0.02,0.6125,0.493716,-0.075
0.015,0.0125,0.235,0.510174,0.38263
0.005,0.01,0.015,0.450646,0.337984
0.0025,0.01,0.3325,0.388673,-0.05
0.0125,0.005,1.8125,0.400361,-0.2
0.0125,0.0175,1.6625,0.435388,-0.175
0.0125,0.0225,1.285,0.46799,-0.2
0.0125,0.025,1.015,0.504282,-0.1
0.015,0.015,0.3975,0.524232,-0.05
0.0225,0.0025,0.2325,0.535905,0.401929
0.0125,0.0025,0.2225,0.463503,0.347627
0.0225,0,1.3,0.409689,-0.2
0.0225,0.02,2.1825,0.445352,-0.225
0.0075,0,2.015,0.493961,-0.225
0.005,0.0025,1.2725,0.535991,-0.2
0.02,0.025,0.3875,0.57236,-0.05
0.0225,0.02,0.155,0.584036,0.438027
0.0075,0.02,0.2225,0.514478,0.385858
0.005,0.0175,1.1775,0.451271,-0.175
0.0175,0.0175,2.1075,0.483035,-0.225
0.025,0.01,1.9425,0.524465,-0.225
0.0025,0.0025,1.3725,0.566491,-0.2
0.005,0.0125,0.965,0.610252,-0.1
0.01,0.025,0.33,0.630374,-0.05
0.0225,0.02,0.1925,0.644332,0.483249
0.0225,0.0125,0.2175,0.550894,0.41317
0.025,0.0075,1.46,0.48762,-0.225
0.005,0.005,2.455,0.528367,-0.25
0.01,0.0075,1.7825,0.572706,-0.2
0.005,0.005,1.63,0.609462,-0.225
0.0075,0.02,1,0.651146,-0.175
0.0025,0.0075,0.3975,0.682925,-0.05
0.025,0.0225,0.1625,0.694571,0.520929
0.0125,0.01,0.2225,0.613142,0.459856
0,0.0025,1.0675,0.528007,-0.175
0.0125,0.0175,2.55,0.560558,-0.275
0,0.02,2.5325,0.613495,-0.25
0.005,0.025,2.03,0.658753,-0.275
0.015,0.0075,1.0925,0.712022,-0.175
0.01,0.0025,0.3475,0.743253,-0.05
0.005,0.0225,0.015,0.753872,0.565404
0.0175,0.0125,0.015,0.66604,0.49953
0.025,0.005,0.8525,0.569478,-0.1
0.02,0.0175,2.1,0.588456,-0.225
0.0075,0.015,2.1875,0.628691,-0.225
0,0.0225,1.075,0.675269,-0.1
